Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
SD 7211,Yes,Fragile,Atlantic,"LP, Album",,1974,4198472,Uncategorized,2014-07-21 08:21:06,,,
SD 7211,Yes,Fragile,Atlantic,"LP, Album, RE, PR-",,0,485319,Uncategorized,2016-12-08 19:21:56,,,
SD 7244,Yes,Close To The Edge,Atlantic,"LP, Album, RI",,1972,756646,Uncategorized,2014-07-21 08:37:52,,,
SD 8283,Yes,The Yes Album,Atlantic,"LP, Album, PR,",,1971,1848382,Uncategorized,2016-12-08 19:22:31,,,
ATO0400,King Gizzard And The Lizard Wizard,Murder Of The Universe,ATO Records,"LP, Album, Vom",,2017,10449503,Uncategorized,2018-01-27 17:51:39,,,
MS 2093,The Mothers,The Grand Wazoo,"Bizarre Records, Reprise Records","LP, Album, Gat",,1972,1311540,Uncategorized,2016-12-08 19:24:11,,,
BF040,Thundercat,Apocalypse,Brainfeeder,"2x12"", Album, Ltd, RE",,2016,8360328,Uncategorized,2017-10-19 19:42:39,,,
BTM 1006,Renaissance (4),Scheherazade And Other Stories,BTM Records,"LP, Album",,1975,1803299,Uncategorized,2014-07-21 08:08:33,,,
STAO-132,The Band,The Band,Capitol Records,"LP, Album, Scr",,1969,6377389,Uncategorized,2016-12-08 19:30:03,,,
SW-11813,Gentle Giant,Giant For A Day,Capitol Records,"LP, Album",,1978,2433799,Uncategorized,2016-12-08 19:06:12,,,
"SW-853, SW 853",Grand Funk Railroad,E Pluribus Funk,"Capitol Records, Capitol Records","LP, Album",,1971,853184,Uncategorized,2014-07-21 08:39:35,,,
NBLP 7053,Parliament,Live (P.Funk Earth Tour),Casablanca,"2xLP, Album, San",,1977,234564,Uncategorized,2014-07-21 08:57:04,,,
"QZ 38733, 38733",Kansas (2),Drastic Measures,"CBS Associated Records, CBS Associated Records","LP, Album, Car",,1983,1700171,Uncategorized,2016-12-08 19:40:36,,,
"CBS 86084, S CBS 86084, JC 35730","Earth, Wind & Fire",I Am,"CBS, CBS, CBS","LP, Album, Gat",,1979,205846,Uncategorized,2014-07-21 08:06:55,,,
6369 905,Genesis,Trespass,Charisma,"LP, Album, RE, Lam",,0,1003476,Uncategorized,2016-12-08 20:03:18,,,
FC 6060,Genesis,Selling England By The Pound,Charisma,"LP, Album, Mon",,1973,4789008,Uncategorized,2017-05-11 11:58:32,,,
CH2-1201,Jethro Tull,Live - Bursting Out,Chrysalis,"2xLP, Album",,1978,476144,Uncategorized,2014-07-21 08:40:07,,,
FC 37713,Maynard Ferguson,Hollywood,Columbia,"LP, Album",,1982,1454894,Uncategorized,2014-07-21 08:52:42,,,
JC 34474,Pink Floyd,Animals,Columbia,"LP, Album, RP, Gat",,0,1862830,Uncategorized,2014-07-21 08:10:20,,,
KC2 37542,Willie Nelson,Greatest Hits (& Some That Will Be),Columbia,"2xLP, Album, Comp, Gat",,1981,644616,Uncategorized,2014-07-21 08:48:12,,,
KGP 24,Chicago (2),Chicago,Columbia,"2xLP, Album, San",,1970,448759,Uncategorized,2014-07-21 08:23:31,,,
KS 32550,Neil Diamond,Jonathan Livingston Seagull (Original Motion Picture Sound Track),Columbia,"LP, Album, Gat",,1973,2177581,Uncategorized,2014-07-21 08:54:00,,,
PC 33175,Loggins And Messina,Mother Lode,Columbia,"LP, Album",,1974,1512384,Uncategorized,2014-07-21 08:52:09,,,
PC 33280,"Earth, Wind & Fire",That's The Way Of The World,Columbia,"LP, Album, Gat",,1975,502117,Uncategorized,2014-07-21 08:17:40,,,
PC 34099,Weather Report,Black Market,Columbia,"LP, Album",,1976,1052478,Uncategorized,2016-12-08 19:17:39,,,
PC 34241,"Earth, Wind & Fire",Spirit,Columbia,"LP, Album",,1976,501949,Uncategorized,2014-07-21 08:45:53,,,
"PC2 36183, 36183",Pink Floyd,The Wall,"Columbia, Columbia","2xLP, Album, Gat",,1979,526569,Uncategorized,2016-12-08 19:23:41,Poor (P),,
88697680571,Miles Davis,Kind Of Blue,"Columbia, Legacy","LP, Album, RE, 180",,2010,2825456,Uncategorized,2016-12-08 19:19:36,Mint (M),Mint (M),
KC 34112,Willie Nelson,The Troublemaker,"Columbia, Lone Star","LP, Album",,1976,2295229,Uncategorized,2014-07-21 09:05:00,,,
SD 9040,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",Cotillion,"LP, Album, MO",,1971,489629,Uncategorized,2016-12-08 19:29:04,,,
SD 9903,"Emerson, Lake & Palmer",Trilogy,Cotillion,"LP, Album, Mon",,1972,3856117,Uncategorized,2014-07-21 09:02:37,,,
SD 9903,"Emerson, Lake & Palmer",Trilogy,Cotillion,"LP, Album, Gat",,1972,1343578,Uncategorized,2016-12-08 19:06:40,,,
SMAS 94286,"Emerson, Lake & Palmer",Pictures At An Exhibition,Cotillion,"LP, Album",,1972,3289098,Uncategorized,2014-07-21 08:11:49,,,
"DXA 7206, DXSA 7206",Andrew Lloyd Webber And Tim Rice,Jesus Christ Superstar,"Decca, Decca","2xLP, Album",,1970,3557664,Uncategorized,2018-01-27 17:47:43,,,
"DXSW 7205, DL 75127",The Who,Tommy,"Decca, Decca","2xLP, Album, Pin",,1969,416538,Uncategorized,2014-07-21 08:03:56,,,
DNO310,Animal Collective,Centipede Hz,Domino USA,"2xLP, Album",,2012,3865744,Uncategorized,2016-12-08 19:20:38,Mint (M),Mint (M),
5E-513,Queen,The Game,Elektra,"LP, Album, SP-",,1980,5698008,Uncategorized,2016-12-08 20:00:20,,,
6E-166,Queen,Jazz,Elektra,"LP, Album, Gat",,1978,613036,Uncategorized,2016-12-08 19:52:08,,,
7E-1005,Bread,The Best Of Bread Volume Two,Elektra,"LP, Comp, CSM",,1974,471420,Uncategorized,2014-07-21 08:22:13,,,
EKS-75047,Bread,Guitar Man,Elektra,"LP, Album",,1972,3296494,Uncategorized,2014-07-21 08:22:58,,,
"EMC 3061, OC 062 ◦ 96 025",Queen,Sheer Heart Attack,"EMI, EMI","LP, Album",,1974,777747,Uncategorized,2014-07-21 08:06:08,,,
"EMTC 103, 0C 066 ∘ 97176",Queen,A Night At The Opera,"EMI, EMI","LP, Album, Emb",,1975,612780,Uncategorized,2014-07-21 08:07:15,,,
EPC 80740,Kansas (2),Song For America,Epic,"LP, Album",,1975,3033805,Uncategorized,2014-07-21 07:57:30,,,
KE 32134,Sly & The Family Stone,Fresh,Epic,"LP, Album, San",,1973,550964,Uncategorized,2016-12-08 19:07:19,,,
EVR 293,The Dear Hunter,Act IV: Rebirth In Reprise,Equal Vision Records,"2xLP, Album, Swa",,2015,7523326,Uncategorized,2016-12-08 19:20:07,Mint (M),Mint (M),
EVR 360,The Dear Hunter,Act V: Hymns With The Devil In Confessional,Equal Vision Records,"2xLP, Ltd, Blu",,2016,9052290,Uncategorized,2016-12-08 19:19:56,Mint (M),Mint (M),
